1,いずみこども園,いずみこども園,東京都千代田区神田和泉町1
2,あい保育園東神田,あい保育園東神田,東京都千代田区東神田2-6-5 東神田ﾋﾞﾙ2･3階
3,千代田せいが保育園,千代田せいが保育園,東京都千代田区神田岩本町15-7
4,ベネッセ内神田保育園,ベネッセ内神田保育園,東京都千代田区内神田2-1-13
5,神田保育園,神田保育園,東京都千代田区神田淡路町2-109
6,神田淡路町保育園大きなおうち,神田淡路町保育園大きなおうち,東京都千代田区神田淡路町2-12
7,西神田保育園,西神田保育園,東京都千代田区西神田2-6-2 西神田ｺｽﾓｽ館
8,ほっぺるランド西神田,ほっぺるランド西神田,東京都千代田区西神田3-5-2 千代田ファーストビル西館1階
9,ふじみこども園,ふじみこども園,東京都千代田区富士見1-10-3
10,グローバルキッズ飯田橋園,グローバルキッズ飯田橋園,東京都千代田区富士見2-14-36 富士見ウエスト2・3階
11,クレアナーサリー市ヶ谷,クレアナーサリー市ヶ谷,東京都千代田区九段北4-2-29 セブンアネックス1~3階
12,四番町保育園,四番町保育園,東京都千代田区四番町5-8
13,麹町保育園,麹町保育園,東京都千代田区一番町4
14,ポピンズナーサリースクール一番町,ポピンズナーサリースクール一番町,東京都千代田区一番町10-8 一番町ウエストビル3・4階
15,アスク二番町保育園,アスク二番町保育園,東京都千代田区二番町2-1 二番町TSビル1~3階
16,二番町ちとせ保育園,二番町ちとせ保育園,東京都千代田区二番町7-5
17,グローバルキッズ六番町園,グローバルキッズ六番町園,東京都千代田区六番町5-16
18,十思保育園,十思保育園,東京都中央区日本橋小伝馬町5-1
19,にじいろ保育園小伝馬町,にじいろ保育園小伝馬町,東京都中央区日本橋小伝馬町13-7 銀泉日本橋小伝馬町ﾋﾞﾙ1~4F
20,日生東日本橋保育園ひびき,日生東日本橋保育園ひびき,東京都中央区東日本橋1-5-13 ｾｲﾜ東日本橋ﾋﾞﾙ1?4階
21,テンダーラビング保育園東日本橋,テンダーラビング保育園東日本橋,東京都中央区東日本橋1-4-6 東日本橋一丁目ビル1・2F
22,さくらさくみらい　東日本橋,さくらさくみらい東日本橋,東京都中央区東日本橋3-6-15
23,ナーサリールーム　ベリーベアー日本橋,ナーサリールームベリーベアー日本橋,東京都中央区日本橋久松町9-4
24,あい保育園日本橋,あい保育園日本橋,東京都中央区日本橋富沢町9-10 稲村ﾋﾞﾙ1階
25,さくらさくみらい人形町,さくらさくみらい人形町,東京都中央区日本橋富沢町2-6
26,かふう保育園日本橋,かふう保育園日本橋,東京都中央区日本橋富沢町10-18 日本橋富沢町ｽｸｴｱ2F
27,あい・あい保育園日本橋浜町園,あい･あい保育園日本橋浜町園,東京都中央区日本橋浜町1-9-12 日本橋ﾌﾟﾗﾔﾋﾞﾙ2階
28,浜町保育園,浜町保育園,東京都中央区日本橋浜町3-37-1
29,キッズハウス浜町公園,キッズハウス浜町公園,東京都中央区日本橋浜町2-44-4 第17村上ビル1・2F
30,中央区立堀留町保育園,中央区立堀留町保育園,東京都中央区日本橋堀留町1-1-1 2階
31,ほっぺるランド日本橋堀留町,ほっぺるランド日本橋堀留町,東京都中央区日本橋堀留町2-8-4 日本橋コアビル1階
32,人形町保育園,人形町保育園,東京都中央区日本橋人形町2-14-5
33,モニカ人形町園,モニカ人形町園,東京都中央区日本橋人形町3-7-5 IKTビル1~4F
34,日本橋保育園,日本橋保育園,東京都中央区日本橋蛎殻町1-1-2
35,グローバルキッズかきがら園,グローバルキッズかきがら園,東京都中央区日本橋蛎殻町1-16-11 EDGE日本橋蛎殻町1・2階
36,あい保育園水天宮,あい保育園水天宮,東京都中央区日本橋蛎殻町1-29-9 ﾈｵﾃｯｸ水天宮ﾋﾞﾙ1･2階
37,学栄ナーサリー日本橋蛎殻町保育園,学栄ナーサリー日本橋蛎殻町保育園,東京都中央区日本橋蛎殻町2-15-5 水天宮CPビル1~4F
38,コビープリスクールはこざき,コビープリスクールはこざき,東京都中央区日本橋箱崎町17ー9 箱崎升喜ビル1・2階
39,中央区立八丁堀保育園,中央区立八丁堀保育園,東京都中央区八丁堀4-5-10
40,太陽の子新川保育園,太陽の子新川保育園,東京都中央区新川1-24-1 ﾕﾆｿﾞ新川永代通りﾋﾞﾙ2階
41,あい保育園新川,あい保育園新川,東京都中央区新川1-26-9 新川ｲﾜﾃﾞﾋﾞﾙ1.2階
42,日生新川保育園ひびき,日生新川保育園ひびき,東京都中央区新川2-30-3 NMﾋﾞﾙ1?4階
43,桜川保育園,桜川保育園,東京都中央区入船1-1-13
44,ブライト保育園東京入船,ブライト保育園東京入船,東京都中央区入船3-5-10 藤和入船ビル2F
45,ＴＫチルドレンズファーム湊校,TKチルドレンズファーム湊校,東京都中央区湊1-2-9 TKオフィスビルディング1~4F
46,明石町保育園,明石町保育園,東京都中央区明石町12-1
47,ぽけっとランド明石町保育園,ぽけっとランド明石町保育園,東京都中央区明石町7-15 ぱぱす明石町ビル2・3階
48,築地保育園,築地保育園,東京都中央区築地4-15-1
49,つくだ保育園,つくだ保育園,東京都中央区佃2-2-2
50,みちてる保育園,みちてる保育園,東京都中央区佃2-22-2
51,保育所まぁむ月島駅前園,保育所まぁむ月島駅前園,東京都中央区佃2-10-9 ﾗｲｵﾝｽﾞﾀﾜｰ月島1F
52,ほっぺるランド佃,ほっぺるランド佃,東京都中央区佃1-11-8 ピアウエストスクエアノースウイング2階
53,月島保育園,月島保育園,東京都中央区月島2-10-3
54,太陽の子月島保育園,太陽の子月島保育園,東京都中央区月島1-5-2 ｷｬﾋﾟﾀﾙｹﾞｰﾄﾌﾟﾚｲｽ2階
55,アンジェリカ月島保育園,アンジェリカ月島保育園,東京都中央区月島2-13-5 オルフェ月島ビル2・3階
56,月島聖ルカ保育園,月島聖ルカ保育園,東京都中央区月島4-5-8
57,月島雲母保育園,月島雲母保育園,東京都中央区月島3-26-11 ﾚｼﾞﾃﾞﾝｽｼｬﾙﾏﾝ月島1階
58,さくらさくみらい　月の岬,さくらさくみらい月の岬,東京都中央区月島4-4-11
59,晴海保育園,晴海保育園,東京都中央区晴海1-5-15
60,ポピンズナーサリースクール晴海,ポピンズナーサリースクール晴海,東京都中央区晴海2-1-40 晴海フロント2階
61,アスク晴海３丁目保育園,アスク晴海3丁目保育園,東京都中央区晴海3-10-1 Daiwa晴海ビル1F
62,さくらさくみらい晴海,さくらさくみらい晴海,東京都中央区晴海2-5-24 晴海ｾﾝﾀｰﾋﾞﾙ1階
63,小学館アカデミー晴海保育園,小学館アカデミー晴海保育園,東京都中央区晴海3-6-8 スカイリンクタワー2F
64,かちどき西保育園,かちどき西保育園,東京都中央区勝どき1-8-1-3F
65,勝どき保育園,勝どき保育園,東京都中央区勝どき1-4-1
66,まなびの森保育園勝どき,まなびの森保育園勝どき,東京都中央区勝どき3-3-7 KNﾘﾊﾞｰｼﾃｨ2階
67,アスク勝どき保育園,アスク勝どき保育園,東京都中央区勝どき4-8-14
68,ほっぺるランド勝どき,ほっぺるランド勝どき,東京都中央区勝どき3-4-4
69,ベネッセ勝どき保育園,ベネッセ勝どき保育園,東京都中央区勝どき5-1-17 勝どきザ・リバーフロント2F
70,ほっぺるランド新島橋かちどき,ほっぺるランド新島橋かちどき,東京都中央区勝どき5-2-15 EDGE勝どき1・2階
71,勝どきえほん保育園,勝どきえほん保育園,東京都中央区勝どき6-1-9
72,ニチイキッズさわやか勝どき６丁目保育園,ニチイキッズさわやか勝どき6丁目保育園,東京都中央区勝どき6-3-1 ザ・トーキョータワーズシータワー3階
73,グローバルキッズ虎ノ門保育園,グローバルキッズ虎ノ門保育園,東京都港区虎ノ門3-19-13 虎ノ門スピリットビル3階
74,こころ新橋保育園,こころ新橋保育園,東京都港区新橋6-4-3 ﾙ･ｸﾞﾗｼｴﾙﾋﾞﾙ7号館2階
75,芝公園保育園,芝公園保育園,東京都港区芝公園2-7-3
76,神明保育園,神明保育園,東京都港区浜松町1-6-7 ﾌﾟﾗｻﾞ神明1~3階
77,小鳩ナーサリースクール浜離宮,小鳩ナーサリースクール浜離宮,東京都港区浜松町1-3-1
78,アスク芝公園保育園,アスク芝公園保育園,東京都港区芝2-12-16
79,ニチイキッズ芝公園保育園,ニチイキッズ芝公園保育園,東京都港区芝2-1-27 穴水ビル2階
80,太陽の子芝浦一丁目保育園,太陽の子芝浦一丁目保育園,東京都港区芝浦1-9-7 芝浦おもだかﾋﾞﾙ2階､3階
81,太陽の子シーバンス保育園,太陽の子シーバンス保育園,東京都港区芝浦1-2-2 シーバンスアモール3階
82,アンジェリカ田町保育園,アンジェリカ田町保育園,東京都港区芝浦1-6-41 グローバルフロントタワー1階
83,西麻布保育園,西麻布保育園,東京都港区西麻布2-13-3
84,コスモス西麻布保育園,コスモス西麻布保育園,東京都港区西麻布2-2-2 NKホームズ1階B
85,麻布保育園,麻布保育園,東京都港区六本木5-16-46
86,まちの保育園六本木,まちの保育園六本木,東京都港区六本木1-9-10 ｱｰｸﾋﾙｽﾞ仙石山森ﾀﾜｰ
